"Plot Title: HOBO 1A Chamber 1"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10561439, SEN S/N: 10561439)","RH, % (LGR S/N: 10561439, SEN S/N: 10561439)","DewPt, °C (LGR S/N: 10561439, SEN S/N: 10561439)","Button Down (LGR S/N: 10561439, SEN S/N: 10561439)","Button Up (LGR S/N: 10561439, SEN S/N: 10561439)","Stopped (LGR S/N: 10561439, SEN S/N: 10561439)","End Of File (LGR S/N: 10561439, SEN S/N: 10561439)"
114,07/21/2014 10:23:00 AM,22.709,62.161,15.114,,,,
115,07/21/2014 10:24:00 AM,22.661,61.727,14.960,,,,
116,07/21/2014 10:25:00 AM,22.421,65.975,15.771,,,,
117,07/21/2014 10:26:00 AM,22.278,69.727,16.503,,,,
118,07/21/2014 10:27:00 AM,22.230,71.015,16.745,,,,
119,07/21/2014 10:28:00 AM,22.254,71.284,16.828,,,,
120,07/21/2014 10:29:00 AM,22.302,67.507,16.017,,,,
121,07/21/2014 10:30:00 AM,22.326,69.411,16.477,,,,
122,07/21/2014 10:31:00 AM,22.350,70.124,16.661,,,,
123,07/21/2014 10:32:00 AM,22.397,70.281,16.742,,,,
124,07/21/2014 10:33:00 AM,22.445,70.260,16.783,,,,
125,07/21/2014 10:34:00 AM,22.469,69.999,16.747,,,,
126,07/21/2014 10:35:00 AM,22.517,69.771,16.742,,,,
127,07/21/2014 10:36:00 AM,22.541,69.835,16.779,,,,
128,07/21/2014 10:37:00 AM,22.589,69.607,16.774,,,,
129,07/21/2014 10:38:00 AM,22.589,69.577,16.767,,,,
130,07/21/2014 10:39:00 AM,22.613,69.641,16.804,,,,
131,07/21/2014 10:40:00 AM,22.613,69.552,16.784,,,,
132,07/21/2014 10:41:00 AM,22.637,69.379,16.768,,,,
133,07/21/2014 10:42:00 AM,22.637,69.408,16.774,,,,
134,07/21/2014 10:43:00 AM,22.637,69.260,16.741,,,,
135,07/21/2014 10:44:00 AM,22.637,69.586,16.815,,,,
136,07/21/2014 10:45:00 AM,22.661,69.413,16.798,,,,
137,07/21/2014 10:46:00 AM,22.661,69.620,16.845,,,,
138,07/21/2014 10:47:00 AM,22.661,69.591,16.839,,,,
139,07/21/2014 10:48:00 AM,22.685,69.684,16.883,,,,
